Name,Seasons,Games,AB,Runs,Hits,Doubles,Triples,HR,RBI,BB,SO,BA,OBP,SLG,AdjPro,BatRun,AdjBatRun,RC,SB,CS,SBRuns,FieldAverage,FieldRuns,TotalPyrRate,Position,HOFStatus,Cluster
HANK EDWARDS, 11.0, 735.0, 2191.0, 285.0, 613.0, 116.0, 41.0, 51.0, 276.0, 208.0, 264.0, 0.28, 0.343, 0.44, 119.0, 38.0, 46.0, 340.0, 9.0, 22.0, 0.0, 0.981, -31.0, -2.1, O, 0, 1
JOHNNY EDWARDS, 14.0, 1470.0, 4577.0, 430.0, 1106.0, 202.0, 32.0, 81.0, 524.0, 465.0, 635.0, 0.242, 0.314, 0.353, 85.0, -84.0, -92.0, 515.0, 15.0, 23.0, -9.0, 0.992, 97.0, 6.1, C, 0, 1
TOM EGAN, 10.0, 373.0, 979.0, 74.0, 196.0, 25.0, 3.0, 22.0, 91.0, 80.0, 336.0, 0.2, 0.267, 0.299, 62.0, -51.0, -49.0, 83.0, 2.0, 1.0, 0.0, 0.987, 35.0, 0.0, C, 0, 1
KID ELBERFELD, 14.0, 1292.0, 4561.0, 647.0, 1235.0, 169.0, 56.0, 10.0, 535.0, 427.0, 4.0, 0.271, 0.352, 0.339, 104.0, 60.0, 41.0, 645.0, 213.0, 0.0, 0.0, 0.92, 45.0, 12.4, S, 0, 1
JOHN ELLIS, 13.0, 883.0, 2672.0, 259.0, 699.0, 116.0, 13.0, 69.0, 391.0, 190.0, 403.0, 0.262, 0.315, 0.392, 99.0, -14.0, -9.0, 317.0, 6.0, 10.0, -4.0, 0.989, -45.0, -6.9, 1, 0, 1
BONES ELY, 14.0, 1341.0, 5159.0, 655.0, 1331.0, 149.0, 68.0, 24.0, 586.0, 257.0, 108.0, 0.258, 0.295, 0.327, 70.0, -228.0, -213.0, 588.0, 164.0, 0.0, 0.0, 0.923, 41.0, -9.7, S, 0, 1
WOODY ENGLISH, 12.0, 1261.0, 4746.0, 801.0, 1356.0, 236.0, 52.0, 32.0, 422.0, 571.0, 536.0, 0.286, 0.366, 0.378, 95.0, -12.0, -14.0, 690.0, 57.0, 0.0, 0.0, 0.957, -31.0, 5.0, S, 0, 1
SAMMY ESPOSITO, 10.0, 560.0, 792.0, 130.0, 164.0, 27.0, 2.0, 8.0, 73.0, 145.0, 127.0, 0.207, 0.333, 0.277, 66.0, -33.0, -33.0, 81.0, 7.0, 7.0, -2.0, 0.957, 51.0, 2.4, 3, 0, 1
JIM ESSIAN, 12.0, 710.0, 1855.0, 194.0, 453.0, 85.0, 3.0, 33.0, 207.0, 231.0, 171.0, 0.244, 0.33, 0.347, 90.0, -28.0, -21.0, 214.0, 9.0, 13.0, -5.0, 0.984, 63.0, 5.5, C, 0, 1
DUDE ESTERBROOK, 11.0, 701.0, 2837.0, 387.0, 741.0, 120.0, 34.0, 6.0, 203.0, 70.0, 129.0, 0.261, 0.284, 0.334, 95.0, -18.0, -18.0, 297.0, 55.0, 0.0, 0.0, 0.884, -2.0, -2.7, 3, 0, 1
ANDY ETCHEBARREN, 15.0, 948.0, 2618.0, 245.0, 615.0, 101.0, 17.0, 49.0, 309.0, 246.0, 529.0, 0.235, 0.308, 0.343, 88.0, -44.0, -40.0, 268.0, 13.0, 14.0, -5.0, 0.987, 32.0, 2.9, C, 0, 1
AL EVANS, 12.0, 704.0, 2053.0, 188.0, 514.0, 70.0, 23.0, 13.0, 211.0, 243.0, 206.0, 0.25, 0.332, 0.326, 82.0, -59.0, -49.0, 234.0, 14.0, 9.0, -1.0, 0.979, -56.0, -6.7, C, 0, 1
JOE EVANS, 11.0, 733.0, 2043.0, 306.0, 529.0, 71.0, 31.0, 3.0, 210.0, 212.0, 152.0, 0.259, 0.329, 0.328, 79.0, -49.0, -58.0, 247.0, 64.0, 17.0, 0.0, 0.971, 5.0, -6.0, O, 0, 1
HOOT EVERS, 12.0, 1142.0, 3801.0, 556.0, 1055.0, 187.0, 41.0, 98.0, 565.0, 415.0, 420.0, 0.278, 0.353, 0.426, 106.0, 41.0, 29.0, 578.0, 45.0, 36.0, -8.0, 0.983, -4.0, -3.2, O, 0, 1
BILL FAHEY, 11.0, 383.0, 934.0, 75.0, 225.0, 26.0, 2.0, 7.0, 83.0, 74.0, 93.0, 0.241, 0.298, 0.296, 69.0, -40.0, -36.0, 87.0, 9.0, 2.0, 2.0, 0.989, 11.0, -1.4, C, 0, 1
BIBB FALK, 12.0, 1353.0, 4652.0, 655.0, 1463.0, 300.0, 59.0, 69.0, 784.0, 412.0, 279.0, 0.314, 0.372, 0.449, 113.0, 71.0, 81.0, 775.0, 46.0, 49.0, -16.0, 0.967, -4.0, -1.7, O, 0, 1
JACK FARRELL, 11.0, 884.0, 3613.0, 584.0, 877.0, 148.0, 55.0, 23.0, 370.0, 197.0, 205.0, 0.243, 0.283, 0.333, 95.0, -32.0, -19.0, 378.0, 87.0, 0.0, 0.0, 0.899, -38.0, -2.7, 2, 0, 1
JOE FERGUSON, 14.0, 1013.0, 3001.0, 407.0, 719.0, 121.0, 11.0, 122.0, 445.0, 562.0, 607.0, 0.24, 0.361, 0.409, 117.0, 66.0, 80.0, 465.0, 22.0, 12.0, -1.0, 0.987, -41.0, 5.8, C, 0, 1
CHICK FEWSTER, 11.0, 644.0, 1963.0, 282.0, 506.0, 91.0, 12.0, 6.0, 167.0, 240.0, 264.0, 0.258, 0.346, 0.326, 77.0, -58.0, -60.0, 230.0, 57.0, 47.0, 0.0, 0.945, -43.0, -11.0, 2, 0, 1
LOU FINNEY, 15.0, 1270.0, 4631.0, 643.0, 1329.0, 203.0, 85.0, 31.0, 494.0, 329.0, 186.0, 0.287, 0.336, 0.388, 88.0, -88.0, -90.0, 599.0, 39.0, 45.0, 0.0, 0.961, -22.0, -18.4, O, 0, 1
MIKE FISCHLIN, 10.0, 517.0, 941.0, 109.0, 207.0, 29.0, 6.0, 3.0, 68.0, 92.0, 142.0, 0.22, 0.293, 0.273, 57.0, -53.0, -53.0, 85.0, 24.0, 13.0, -1.0, 0.959, 63.0, 2.8, S, 0, 1
ED FITZGERALD, 12.0, 807.0, 2086.0, 199.0, 542.0, 82.0, 10.0, 19.0, 217.0, 185.0, 235.0, 0.26, 0.324, 0.336, 80.0, -60.0, -56.0, 223.0, 9.0, 6.0, 0.0, 0.975, -48.0, -8.0, C, 0, 1
MIKE FITZGERALD, 10.0, 848.0, 2316.0, 220.0, 545.0, 95.0, 9.0, 48.0, 293.0, 292.0, 432.0, 0.235, 0.323, 0.346, 87.0, -39.0, -36.0, 264.0, 31.0, 20.0, -3.0, 0.99, -22.0, -2.1, C, 0, 1
MAX FLACK, 12.0, 1411.0, 5252.0, 783.0, 1461.0, 212.0, 72.0, 35.0, 391.0, 474.0, 253.0, 0.278, 0.342, 0.366, 100.0, 10.0, 8.0, 706.0, 200.0, 71.0, 0.0, 0.972, -12.0, -10.5, O, 0, 1
IRA FLAGSTEAD, 13.0, 1218.0, 4139.0, 644.0, 1202.0, 262.0, 50.0, 40.0, 450.0, 467.0, 288.0, 0.29, 0.37, 0.407, 103.0, 15.0, 22.0, 638.0, 71.0, 58.0, 0.0, 0.974, 59.0, 0.5, O, 0, 1
TIM FLANNERY, 11.0, 972.0, 2473.0, 255.0, 631.0, 77.0, 25.0, 9.0, 209.0, 277.0, 293.0, 0.255, 0.338, 0.317, 86.0, -48.0, -38.0, 279.0, 22.0, 22.0, -7.0, 0.982, -47.0, -7.6, 2, 0, 1
ART FLETCHER, 13.0, 1533.0, 5541.0, 684.0, 1534.0, 238.0, 77.0, 32.0, 675.0, 203.0, 348.0, 0.277, 0.319, 0.365, 100.0, -14.0, -14.0, 680.0, 159.0, 28.0, 0.0, 0.939, 166.0, 26.3, S, 0, 1
ELBIE FLETCHER, 12.0, 1415.0, 4879.0, 723.0, 1323.0, 228.0, 58.0, 79.0, 616.0, 851.0, 495.0, 0.271, 0.384, 0.39, 118.0, 133.0, 148.0, 796.0, 32.0, 0.0, 0.0, 0.993, 33.0, 8.0, 1, 0, 1
SILVER FLINT, 12.0, 743.0, 2852.0, 376.0, 682.0, 129.0, 34.0, 21.0, 294.0, 53.0, 461.0, 0.239, 0.253, 0.33, 78.0, -57.0, -82.0, 254.0, 10.0, 0.0, 0.0, 0.913, 19.0, -2.3, C, 0, 1
JAKE FLOWERS, 10.0, 583.0, 1693.0, 229.0, 433.0, 75.0, 18.0, 16.0, 201.0, 190.0, 139.0, 0.256, 0.333, 0.35, 80.0, -47.0, -46.0, 206.0, 58.0, 2.0, 0.0, 0.967, -34.0, -5.4, 2, 0, 1
DOUG FLYNN, 11.0, 1308.0, 3853.0, 288.0, 918.0, 115.0, 39.0, 7.0, 284.0, 151.0, 320.0, 0.238, 0.267, 0.294, 57.0, -234.0, -224.0, 285.0, 20.0, 20.0, -6.0, 0.986, 33.0, -12.9, 2, 0, 1
HANK FOILES, 11.0, 608.0, 1455.0, 171.0, 353.0, 59.0, 10.0, 46.0, 166.0, 170.0, 295.0, 0.243, 0.323, 0.392, 92.0, -20.0, -17.0, 185.0, 3.0, 7.0, -3.0, 0.986, 35.0, 3.5, C, 0, 1
TIM FOLI, 16.0, 1696.0, 6047.0, 576.0, 1515.0, 241.0, 20.0, 25.0, 501.0, 265.0, 399.0, 0.251, 0.286, 0.309, 64.0, -284.0, -297.0, 527.0, 81.0, 55.0, -9.0, 0.973, 74.0, -5.6, S, 0, 1
LEW FONSECA, 12.0, 937.0, 3404.0, 518.0, 1075.0, 203.0, 50.0, 31.0, 485.0, 186.0, 199.0, 0.316, 0.355, 0.432, 103.0, 14.0, 11.0, 524.0, 64.0, 36.0, -2.0, 0.994, -3.0, -2.2, 1, 0, 1
BARRY FOOTE, 10.0, 687.0, 2127.0, 191.0, 489.0, 103.0, 10.0, 57.0, 230.0, 136.0, 287.0, 0.23, 0.279, 0.368, 75.0, -67.0, -80.0, 209.0, 10.0, 6.0, -1.0, 0.985, 31.0, -2.9, C, 0, 1
DAVY FORCE, 10.0, 768.0, 2950.0, 323.0, 623.0, 80.0, 15.0, 1.0, 209.0, 131.0, 261.0, 0.211, 0.245, 0.249, 58.0, -134.0, -136.0, 189.0, 9.0, 0.0, 0.0, 0.908, 96.0, -1.5, S, 0, 1
DAN FORD, 11.0, 1153.0, 4163.0, 598.0, 1123.0, 214.0, 38.0, 121.0, 566.0, 303.0, 722.0, 0.27, 0.326, 0.427, 108.0, 38.0, 40.0, 556.0, 61.0, 37.0, -4.0, 0.974, -17.0, -1.9, O, 0, 1
HOD FORD, 15.0, 1446.0, 4833.0, 484.0, 1269.0, 200.0, 55.0, 16.0, 494.0, 351.0, 354.0, 0.263, 0.316, 0.337, 72.0, -207.0, -191.0, 517.0, 21.0, 28.0, 0.0, 0.96, 54.0, -4.5, S, 0, 1
RAY FOSSE, 12.0, 924.0, 2957.0, 299.0, 758.0, 117.0, 13.0, 61.0, 324.0, 203.0, 363.0, 0.256, 0.308, 0.367, 90.0, -40.0, -44.0, 325.0, 15.0, 19.0, -7.0, 0.985, 28.0, 1.3, C, 0, 1
EDDIE FOSTER, 13.0, 1500.0, 5652.0, 732.0, 1490.0, 191.0, 71.0, 6.0, 451.0, 528.0, 255.0, 0.264, 0.329, 0.326, 89.0, -80.0, -81.0, 652.0, 195.0, 53.0, 0.0, 0.93, -42.0, -8.0, 3, 0, 1
BOB FOTHERGILL, 12.0, 1106.0, 3269.0, 453.0, 1064.0, 225.0, 52.0, 36.0, 582.0, 202.0, 177.0, 0.325, 0.368, 0.459, 115.0, 58.0, 64.0, 537.0, 40.0, 52.0, -19.0, 0.961, -53.0, -5.4, O, 0, 1
DAVE FOUTZ, 13.0, 1135.0, 4533.0, 784.0, 1253.0, 186.0, 91.0, 31.0, 548.0, 300.0, 136.0, 0.276, 0.323, 0.378, 104.0, 13.0, 11.0, 671.0, 280.0, 0.0, 0.0, 0.977, -15.0, -4.9, 1, 0, 1
PETE FOX, 13.0, 1461.0, 5636.0, 895.0, 1678.0, 314.0, 75.0, 65.0, 694.0, 392.0, 471.0, 0.298, 0.347, 0.415, 98.0, -9.0, -28.0, 819.0, 158.0, 81.0, -1.0, 0.977, -20.0, -10.9, O, 0, 1
TITO FRANCONA, 15.0, 1719.0, 5121.0, 650.0, 1395.0, 224.0, 34.0, 125.0, 656.0, 544.0, 694.0, 0.272, 0.346, 0.403, 108.0, 40.0, 55.0, 734.0, 46.0, 21.0, 1.0, 0.984, -46.0, -6.9, O, 0, 1
TERRY FRANCONA, 10.0, 708.0, 1731.0, 163.0, 474.0, 74.0, 6.0, 16.0, 143.0, 65.0, 119.0, 0.274, 0.302, 0.351, 81.0, -47.0, -47.0, 179.0, 12.0, 12.0, -4.0, 0.992, -4.0, -7.5, 1, 0, 1
BUCK FREEMAN, 11.0, 1126.0, 4208.0, 588.0, 1235.0, 199.0, 131.0, 82.0, 713.0, 272.0, 2.0, 0.293, 0.346, 0.462, 131.0, 170.0, 155.0, 736.0, 92.0, 0.0, 0.0, 0.95, -53.0, 4.1, O, 0, 1
GENE FREESE, 12.0, 1115.0, 3446.0, 429.0, 877.0, 161.0, 28.0, 115.0, 432.0, 243.0, 535.0, 0.254, 0.307, 0.418, 94.0, -37.0, -36.0, 434.0, 51.0, 26.0, -0.0, 0.934, -90.0, -12.1, 3, 0, 1
LONNY FREY, 14.0, 1535.0, 5517.0, 848.0, 1482.0, 263.0, 69.0, 61.0, 549.0, 752.0, 525.0, 0.269, 0.359, 0.374, 104.0, 43.0, 50.0, 803.0, 105.0, 0.0, 0.0, 0.973, -18.0, 12.0, 2, 0, 1
BERNIE FRIBERG, 14.0, 1299.0, 4169.0, 544.0, 1170.0, 181.0, 44.0, 38.0, 471.0, 471.0, 498.0, 0.281, 0.356, 0.373, 87.0, -46.0, -71.0, 564.0, 51.0, 60.0, 0.0, 0.953, 32.0, -1.3, 3, 0, 1
TITO FUENTES, 13.0, 1499.0, 5566.0, 610.0, 1491.0, 211.0, 46.0, 45.0, 438.0, 298.0, 561.0, 0.268, 0.309, 0.347, 82.0, -135.0, -135.0, 593.0, 80.0, 47.0, -4.0, 0.974, -37.0, -8.8, 2, 0, 1
PHIL GAGLIANO, 12.0, 702.0, 1411.0, 150.0, 336.0, 50.0, 7.0, 14.0, 159.0, 163.0, 184.0, 0.238, 0.319, 0.313, 77.0, -35.0, -41.0, 146.0, 5.0, 4.0, -1.0, 0.969, -33.0, -7.3, 2, 0, 1
DEL GAINER, 10.0, 548.0, 1608.0, 218.0, 438.0, 75.0, 36.0, 14.0, 185.0, 149.0, 156.0, 0.272, 0.342, 0.39, 113.0, 21.0, 24.0, 232.0, 54.0, 6.0, 0.0, 0.985, -19.0, -0.4, 1, 0, 1
CHICK GALLOWAY, 10.0, 1076.0, 3583.0, 391.0, 946.0, 136.0, 46.0, 17.0, 407.0, 274.0, 224.0, 0.264, 0.317, 0.342, 69.0, -155.0, -170.0, 401.0, 79.0, 56.0, 0.0, 0.943, -26.0, -10.3, S, 0, 1
JIM GANTNER, 17.0, 1801.0, 6189.0, 726.0, 1696.0, 262.0, 38.0, 47.0, 568.0, 383.0, 501.0, 0.274, 0.322, 0.351, 88.0, -115.0, -99.0, 689.0, 137.0, 78.0, -6.0, 0.985, 50.0, 0.1, 2, 0, 1
CHARLIE GANZEL, 14.0, 786.0, 2984.0, 421.0, 774.0, 91.0, 45.0, 10.0, 412.0, 161.0, 121.0, 0.259, 0.301, 0.33, 75.0, -86.0, -113.0, 327.0, 60.0, 0.0, 0.0, 0.934, 36.0, -2.0, C, 0, 1
KIKO GARCIA, 10.0, 619.0, 1470.0, 162.0, 351.0, 56.0, 16.0, 12.0, 112.0, 95.0, 285.0, 0.239, 0.287, 0.323, 70.0, -66.0, -59.0, 128.0, 34.0, 22.0, -3.0, 0.961, 39.0, 1.9, S, 0, 1
DAMASO GARCIA, 11.0, 1032.0, 3914.0, 490.0, 1108.0, 183.0, 27.0, 36.0, 323.0, 130.0, 322.0, 0.283, 0.311, 0.371, 84.0, -72.0, -94.0, 435.0, 203.0, 90.0, 7.0, 0.98, -62.0, -10.4, 2, 0, 1
BILLY GARDNER, 10.0, 1034.0, 3544.0, 356.0, 841.0, 159.0, 18.0, 41.0, 271.0, 246.0, 439.0, 0.237, 0.293, 0.327, 70.0, -164.0, -150.0, 334.0, 19.0, 22.0, -8.0, 0.978, 8.0, -8.0, 2, 0, 1
DEBS GARMS, 12.0, 1010.0, 3111.0, 438.0, 910.0, 141.0, 39.0, 17.0, 328.0, 288.0, 161.0, 0.293, 0.355, 0.379, 103.0, 6.0, 14.0, 442.0, 18.0, 8.0, 0.0, 0.966, -58.0, -6.5, O, 0, 1
RALPH GARR, 13.0, 1317.0, 5108.0, 717.0, 1562.0, 212.0, 64.0, 75.0, 408.0, 246.0, 445.0, 0.306, 0.34, 0.416, 106.0, 59.0, 37.0, 716.0, 172.0, 83.0, 2.0, 0.968, -8.0, -2.1, O, 0, 1
WAYNE GARRETT, 10.0, 1092.0, 3285.0, 438.0, 786.0, 107.0, 22.0, 61.0, 340.0, 561.0, 529.0, 0.239, 0.352, 0.341, 95.0, -11.0, -5.0, 432.0, 38.0, 30.0, -7.0, 0.956, 7.0, 0.5, 3, 0, 1
CITO GASTON, 11.0, 1026.0, 3120.0, 314.0, 799.0, 106.0, 30.0, 91.0, 387.0, 185.0, 693.0, 0.256, 0.3, 0.397, 95.0, -43.0, -30.0, 361.0, 13.0, 7.0, -0.0, 0.97, -10.0, -8.6, O, 0, 1
RICH GEDMAN, 13.0, 1033.0, 3159.0, 331.0, 795.0, 176.0, 12.0, 88.0, 382.0, 236.0, 509.0, 0.252, 0.307, 0.399, 90.0, -34.0, -49.0, 381.0, 3.0, 4.0, -2.0, 0.984, 20.0, 2.0, C, 0, 1
GARY GEIGER, 12.0, 954.0, 2569.0, 388.0, 633.0, 91.0, 29.0, 77.0, 283.0, 341.0, 466.0, 0.246, 0.339, 0.394, 98.0, 3.0, -5.0, 363.0, 62.0, 29.0, 1.0, 0.986, 32.0, -0.8, O, 0, 1
WALLY GERBER, 15.0, 1522.0, 5099.0, 558.0, 1309.0, 172.0, 46.0, 7.0, 476.0, 465.0, 357.0, 0.257, 0.323, 0.313, 67.0, -222.0, -247.0, 538.0, 41.0, 47.0, 0.0, 0.943, 54.0, -7.7, S, 0, 1
JOE GERHARDT, 12.0, 986.0, 3770.0, 448.0, 854.0, 112.0, 51.0, 7.0, 229.0, 162.0, 187.0, 0.227, 0.261, 0.289, 72.0, -117.0, -120.0, 308.0, 37.0, 0.0, 0.0, 0.913, 173.0, 7.8, 2, 0, 1
DICK GERNERT, 11.0, 835.0, 2493.0, 357.0, 632.0, 104.0, 8.0, 103.0, 402.0, 363.0, 462.0, 0.254, 0.352, 0.426, 104.0, 40.0, 19.0, 382.0, 10.0, 11.0, -4.0, 0.99, 9.0, -1.1, 1, 0, 1
CESAR GERONIMO, 15.0, 1522.0, 3780.0, 460.0, 977.0, 161.0, 50.0, 51.0, 392.0, 354.0, 746.0, 0.258, 0.327, 0.368, 93.0, -37.0, -36.0, 462.0, 82.0, 40.0, 1.0, 0.988, 4.0, -7.6, O, 0, 1
PATSY GHARRITY, 10.0, 676.0, 1961.0, 237.0, 513.0, 92.0, 26.0, 20.0, 249.0, 188.0, 231.0, 0.262, 0.331, 0.366, 90.0, -37.0, -28.0, 250.0, 32.0, 13.0, 0.0, 0.974, -6.0, -1.6, C, 0, 1
JAKE GIBBS, 10.0, 538.0, 1639.0, 157.0, 382.0, 53.0, 8.0, 25.0, 146.0, 120.0, 231.0, 0.233, 0.291, 0.321, 81.0, -48.0, -41.0, 152.0, 28.0, 22.0, -5.0, 0.986, 8.0, -1.4, C, 0, 1
GEORGE GIBSON, 14.0, 1213.0, 3776.0, 295.0, 893.0, 142.0, 49.0, 15.0, 345.0, 286.0, 132.0, 0.236, 0.295, 0.312, 81.0, -86.0, -95.0, 367.0, 40.0, 2.0, 0.0, 0.977, -16.0, -0.5, C, 0, 1
BARNEY GILLIGAN, 10.0, 521.0, 1865.0, 215.0, 386.0, 68.0, 23.0, 3.0, 167.0, 147.0, 235.0, 0.207, 0.265, 0.273, 71.0, -62.0, -56.0, 141.0, 8.0, 0.0, 0.0, 0.912, 24.0, -0.1, C, 0, 1
JOE GINSBERG, 13.0, 695.0, 1716.0, 168.0, 414.0, 59.0, 8.0, 20.0, 182.0, 226.0, 135.0, 0.241, 0.334, 0.32, 79.0, -48.0, -46.0, 198.0, 7.0, 5.0, -1.0, 0.983, -17.0, -3.8, C, 0, 1
TONY GONZALEZ, 12.0, 1559.0, 5195.0, 690.0, 1485.0, 238.0, 57.0, 103.0, 615.0, 467.0, 706.0, 0.286, 0.353, 0.413, 114.0, 95.0, 100.0, 749.0, 79.0, 61.0, -13.0, 0.987, -46.0, -2.9, O, 0, 1
MIKE GONZALEZ, 17.0, 1042.0, 2829.0, 283.0, 717.0, 123.0, 19.0, 13.0, 263.0, 231.0, 198.0, 0.253, 0.314, 0.324, 81.0, -73.0, -71.0, 300.0, 52.0, 10.0, 0.0, 0.98, 45.0, 2.9, C, 0, 1
JOHNNY GOOCH, 11.0, 805.0, 2363.0, 227.0, 662.0, 98.0, 29.0, 7.0, 293.0, 206.0, 141.0, 0.28, 0.342, 0.355, 79.0, -65.0, -69.0, 292.0, 11.0, 5.0, 0.0, 0.973, -1.0, -2.5, C, 0, 1
WILBUR GOOD, 11.0, 749.0, 2364.0, 324.0, 609.0, 84.0, 44.0, 9.0, 187.0, 190.0, 243.0, 0.258, 0.322, 0.342, 98.0, -3.0, -8.0, 286.0, 104.0, 17.0, 0.0, 0.942, -8.0, -5.4, O, 0, 1
IVAL GOODMAN, 10.0, 1107.0, 3928.0, 609.0, 1104.0, 188.0, 85.0, 95.0, 525.0, 382.0, 380.0, 0.281, 0.352, 0.445, 120.0, 90.0, 101.0, 641.0, 49.0, 0.0, 0.0, 0.975, 12.0, 6.9, O, 0, 1
BILLY GOODMAN, 16.0, 1623.0, 5644.0, 807.0, 1691.0, 299.0, 44.0, 19.0, 591.0, 669.0, 329.0, 0.3, 0.377, 0.378, 98.0, 49.0, 4.0, 844.0, 37.0, 30.0, -7.0, 0.972, -63.0, -3.7, 2, 0, 1
JIM GOSGER, 10.0, 705.0, 1815.0, 197.0, 411.0, 67.0, 16.0, 30.0, 177.0, 217.0, 316.0, 0.226, 0.311, 0.331, 83.0, -38.0, -38.0, 199.0, 25.0, 18.0, -3.0, 0.985, -1.0, -7.1, O, 0, 1
JULIO GOTAY, 10.0, 389.0, 988.0, 106.0, 257.0, 38.0, 3.0, 6.0, 70.0, 61.0, 127.0, 0.26, 0.309, 0.323, 75.0, -30.0, -34.0, 94.0, 12.0, 7.0, -1.0, 0.944, 16.0, 0.2, S, 0, 1
HANK GOWDY, 17.0, 1050.0, 2735.0, 270.0, 738.0, 124.0, 27.0, 21.0, 322.0, 311.0, 247.0, 0.27, 0.351, 0.358, 105.0, 15.0, 25.0, 372.0, 59.0, 7.0, 0.0, 0.975, 5.0, 9.4, C, 0, 1
MIKE GRADY, 11.0, 918.0, 3000.0, 486.0, 881.0, 155.0, 67.0, 35.0, 449.0, 311.0, 40.0, 0.294, 0.373, 0.425, 127.0, 96.0, 109.0, 540.0, 114.0, 0.0, 0.0, 0.946, -95.0, 5.6, C, 0, 1
ALEX GRAMMAS, 10.0, 913.0, 2073.0, 236.0, 512.0, 90.0, 10.0, 12.0, 163.0, 206.0, 192.0, 0.247, 0.32, 0.317, 67.0, -84.0, -96.0, 212.0, 17.0, 14.0, -3.0, 0.968, 88.0, 3.3, S, 0, 1
JACK GRANEY, 14.0, 1402.0, 4705.0, 706.0, 1178.0, 219.0, 79.0, 18.0, 420.0, 712.0, 345.0, 0.25, 0.354, 0.342, 100.0, 42.0, 18.0, 610.0, 148.0, 36.0, 0.0, 0.953, -3.0, -6.3, O, 0, 1
EDDIE GRANT, 10.0, 990.0, 3385.0, 399.0, 844.0, 79.0, 30.0, 5.0, 277.0, 233.0, 181.0, 0.249, 0.3, 0.295, 78.0, -94.0, -93.0, 347.0, 153.0, 6.0, 0.0, 0.942, -28.0, -10.3, 3, 0, 1
LENNY GREEN, 12.0, 1136.0, 2956.0, 461.0, 788.0, 138.0, 27.0, 47.0, 253.0, 368.0, 260.0, 0.267, 0.353, 0.379, 99.0, 14.0, 3.0, 421.0, 78.0, 41.0, -1.0, 0.984, -95.0, -13.7, O, 0, 1
DICK GREEN, 12.0, 1288.0, 4007.0, 427.0, 960.0, 145.0, 23.0, 80.0, 422.0, 345.0, 785.0, 0.24, 0.305, 0.347, 87.0, -80.0, -67.0, 424.0, 26.0, 20.0, -4.0, 0.983, 28.0, 4.0, 2, 0, 1
TOMMY GRIFFITH, 13.0, 1401.0, 4947.0, 589.0, 1383.0, 208.0, 72.0, 52.0, 619.0, 351.0, 262.0, 0.28, 0.328, 0.382, 102.0, 5.0, 7.0, 634.0, 70.0, 42.0, 0.0, 0.956, -19.0, -11.2, O, 0, 1
JOHN GRIM, 11.0, 706.0, 2638.0, 350.0, 705.0, 119.0, 37.0, 16.0, 296.0, 85.0, 77.0, 0.267, 0.302, 0.359, 83.0, -87.0, -63.0, 325.0, 82.0, 0.0, 0.0, 0.943, -6.0, -1.3, C, 0, 1
GREG GROSS, 17.0, 1809.0, 3745.0, 449.0, 1073.0, 130.0, 46.0, 7.0, 308.0, 523.0, 250.0, 0.287, 0.375, 0.351, 103.0, 38.0, 37.0, 511.0, 39.0, 44.0, -15.0, 0.982, -49.0, -6.9, O, 0, 1
WAYNE GROSS, 11.0, 1106.0, 3125.0, 373.0, 727.0, 126.0, 9.0, 121.0, 396.0, 482.0, 496.0, 0.233, 0.339, 0.395, 106.0, 13.0, 31.0, 443.0, 24.0, 22.0, -6.0, 0.941, -96.0, -9.3, 3, 0, 1
JERRY GROTE, 16.0, 1421.0, 4339.0, 352.0, 1092.0, 160.0, 22.0, 39.0, 404.0, 399.0, 600.0, 0.252, 0.318, 0.326, 83.0, -102.0, -92.0, 443.0, 15.0, 23.0, -9.0, 0.991, 86.0, 4.8, C, 0, 1
JOHNNY GROTH, 15.0, 1248.0, 3808.0, 480.0, 1064.0, 197.0, 31.0, 60.0, 486.0, 419.0, 329.0, 0.279, 0.353, 0.395, 99.0, 4.0, -5.0, 528.0, 19.0, 42.0, -20.0, 0.987, -40.0, -11.0, O, 0, 1
JOHNNY GRUBB, 16.0, 1424.0, 4154.0, 553.0, 1153.0, 207.0, 29.0, 99.0, 475.0, 566.0, 558.0, 0.278, 0.369, 0.413, 121.0, 105.0, 127.0, 658.0, 27.0, 33.0, -12.0, 0.981, -46.0, 3.4, O, 0, 1
FRANKIE GUSTINE, 12.0, 1261.0, 4582.0, 553.0, 1214.0, 222.0, 47.0, 38.0, 480.0, 369.0, 427.0, 0.265, 0.322, 0.359, 87.0, -73.0, -83.0, 525.0, 60.0, 1.0, 0.0, 0.955, -33.0, -6.5, 2, 0, 1
DON GUTTERIDGE, 12.0, 1151.0, 4202.0, 586.0, 1075.0, 200.0, 64.0, 39.0, 391.0, 309.0, 444.0, 0.256, 0.308, 0.362, 84.0, -81.0, -102.0, 484.0, 95.0, 37.0, 0.0, 0.964, -76.0, -14.6, 2, 0, 1
MULE HAAS, 12.0, 1168.0, 4303.0, 706.0, 1257.0, 254.0, 45.0, 43.0, 496.0, 433.0, 299.0, 0.292, 0.359, 0.402, 93.0, -24.0, -41.0, 642.0, 12.0, 16.0, -6.0, 0.984, 5.0, -9.9, O, 0, 1
